Word,POS,Tag
สุรยุทธ์,NR,PER_B
ยัน,VV,O
ปฏิเสธ,VV,O
ลงนาม,VV,O
MOU,FWN,O
กับ,P,O
อียู,NR,ABB_ORG_B
ไม่,NEG,O
กระทบ,JJV,O
สัมพันธ์,VV,O
1,OD,DTM_B
กันยายน,NN,DTM_I
2550,OD,DTM_I
12:21,OD,DTM_B
น.,CL,DTM_I
นายก,NN,O
ฯ,PU,O
ย้ำ,VV,O
ไม่,NEG,O
ลงนาม,VV,O
ใน,P,O
MOU,FWN,O
ร่วม,VV,O
กับ,P,O
อียู,NR,ABB_ORG_B
กรณี,NN,O
ที่,COMP,O
จะ,AUX,O
เข้า,VV,O
มา,VV,O
สังเกต,VV,O
การณ์,NN,O
การ,FXN,O
เลือกตั้ง,VV,O
ของ,P,O
ไทย,NR,LOC_B
ใน,P,O
ลักษณะ,NN,O
เข้า,VV,O
มา,VV,O
ตรวจสอบ,VV,O
ยัน,VV,O
ไทย,NR,LOC_B
ไม่,NEG,O
ได้,AUX,O
ล้มเหลว,VV,O
ถึง,VV,O
ขั้น,NN,O
นั้น,DDEM,O
เชื่อ,VV,O
การ,FXN,O
ปฏิเสธ,VV,O
เรื่อง,NN,O
ดัง,P,O
กล่าว,VV,O
ไม่,NEG,O
กระทบ,VV,O
สัมพันธ์,VV,O
ที่,COMP,O
มี,VV,O
ต่อ,REFX,O
กัน,REFX,O
พร้อม,CNJ,O
หนุน,VV,O
กกต.,NR,ABB_ORG_B
จัด,VV,O
เลือกตั้ง,VV,O
ให้,COMP,O
บริสุทธิ์,VA,O
ยุติธรรม,ADV,O
(,PU,O
1,OD,DTM_B
ก.ย.,NN,DTM_I
),PU,O
พล.อ.,NN,ABB_DES_B
สุรยุทธ์,NR,PER_B
จุลานนท์,NR,PER_I
กล่าว,VV,O
รายการ,NN,O
เปิด,VV,O
บ้านพิษณุโลก,NR,LOC_B
ออกอากาศ,VV,O
ทาง,NN,O
สถานี,NN,ORG_B
วิทยุ,NN,ORG_I
โทรทัศน์,NN,ORG_I
แห่ง,NN,ORG_I
ประเทศ,NN,ORG_I
ไทย,NR,ORG_I
ช่อง,NN,ORG_I
11,OD,ORG_I
กรม,NN,ORG_B
ประชาสัมพันธ์,JJV,ORG_I
กรณี,NN,O
ที่,COMP,O
สหภาพ,NN,ORG_B
ยุโรป,NR,ORG_I
